reference	n	word	normalized	lemma	strongs	morphology	tvm_code
Matthew 1:10	1	Ἐζεκίας	Ἐζεκίας	Ἑζεκίας	G1478	N-NSM	
Matthew 1:10	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:10	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:10	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:10	5	Μανασσῆ,	Μανασσῆ	Μανασσῆ	G3128	N-ASM	
Matthew 1:10	6	Μανασσῆς	Μανασσῆς	Μανασσῆ	G3128	N-NSM	
Matthew 1:10	7	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:10	8	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:10	9	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:10	10	Ἀμώς,	Ἀμώς	Ἀμώς	G0301	N-PRI	
Matthew 1:10	11	Ἀμὼς	Ἀμώς	Ἀμώς	G0301	N-PRI	
Matthew 1:10	12	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:10	13	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:10	14	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:10	15	Ἰωσείαν,	Ἰωσείαν	Ἰωσίας	G2502	N-ASM	
Matthew 1:11	1	Ἰωσείας	Ἰωσείας	Ἰωσίας	G2502	N-NSM	
Matthew 1:11	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:11	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:11	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:11	5	Ἰεχονίαν	Ἰεχονίαν	Ἰεχονίας	G2423	N-ASM	
Matthew 1:11	6	καὶ	καί	καί	G2532	CONJ	
Matthew 1:11	7	τοὺς	τούς	ὁ	G3588	T-APM	
Matthew 1:11	8	ἀδελφοὺς	ἀδελφούς	ἀδελφός	G0080	N-APM	
Matthew 1:11	9	αὐτοῦ	αὐτοῦ	αὐτός	G0846	P-GSM	
Matthew 1:11	10	ἐπὶ	ἐπί	ἐπί	G1909	PREP	
Matthew 1:11	11	τῆς	τῆς	ὁ	G3588	T-GSF	
Matthew 1:11	12	μετοικεσίας	μετοικεσίας	μετοικεσία	G3350	N-GSF	
Matthew 1:11	13	Βαβυλῶνος.	Βαβυλῶνος	Βαβυλών	G0897	N-GSF	
Matthew 1:12	1	Μετὰ	Μετά	μετά	G3326	PREP	
Matthew 1:12	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:12	3	τὴν	τήν	ὁ	G3588	T-ASF	
Matthew 1:12	4	μετοικεσίαν	μετοικεσίαν	μετοικεσία	G3350	N-ASF	
Matthew 1:12	5	Βαβυλῶνος	Βαβυλῶνος	Βαβυλών	G0897	N-GSF	
Matthew 1:12	6	Ἰεχονίας	Ἰεχονίας	Ἰεχονίας	G2423	N-NSM	
Matthew 1:12	7	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:12	8	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:12	9	Σαλαθιήλ,	Σαλαθιήλ	Σαλαθιήλ	G4528	N-PRI	
Matthew 1:12	10	Σαλαθιὴλ	Σαλαθιήλ	Σαλαθιήλ	G4528	N-PRI	
Matthew 1:12	11	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:12	12	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:12	13	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:12	14	Ζοροβαβέλ,	Ζοροβαβέλ	Ζοροβαβέλ	G2216	N-PRI	
Matthew 1:13	1	Ζοροβαβὲλ	Ζοροβαβέλ	Ζοροβαβέλ	G2216	N-PRI	
Matthew 1:13	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:13	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:13	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:13	5	Ἀβιούδ,	Ἀβιούδ	Ἀβιούδ	G0010	N-PRI	
Matthew 1:13	6	Ἀβιοὺδ	Ἀβιούδ	Ἀβιούδ	G0010	N-PRI	
Matthew 1:13	7	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:13	8	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:13	9	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:13	10	Ἐλιακείμ,	Ἐλιακείμ	Ἐλιακίμ	G1662	N-PRI	
Matthew 1:13	11	Ἐλιακεὶμ	Ἐλιακείμ	Ἐλιακίμ	G1662	N-PRI	
Matthew 1:13	12	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:13	13	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:13	14	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:13	15	Ἀζώρ,	Ἀζώρ	Ἀζώρ	G0107	N-PRI	
Matthew 1:14	1	Ἀζὼρ	Ἀζώρ	Ἀζώρ	G0107	N-PRI	
Matthew 1:14	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:14	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:14	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:14	5	Σαδώκ,	Σαδώκ	Σαδώκ	G4524	N-PRI	
Matthew 1:14	6	Σαδὼκ	Σαδώκ	Σαδώκ	G4524	N-PRI	
Matthew 1:14	7	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:14	8	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:14	9	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:14	10	Ἀχείμ,	Ἀχείμ	Ἀχίμ	G0885	N-PRI	
Matthew 1:14	11	Ἀχεὶμ	Ἀχείμ	Ἀχίμ	G0885	N-PRI	
Matthew 1:14	12	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:14	13	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:14	14	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:14	15	Ἐλιούδ,	Ἐλιούδ	Ἐλιούδ	G1664	N-PRI	
Matthew 1:15	1	Ἐλιοὺδ	Ἐλιούδ	Ἐλιούδ	G1664	N-PRI	
Matthew 1:15	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:15	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:15	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:15	5	Ἐλεάζαρ,	Ἐλεάζαρ	Ἐλεάζαρ	G1648	N-PRI	
Matthew 1:15	6	Ἐλεάζαρ	Ἐλεάζαρ	Ἐλεάζαρ	G1648	N-PRI	
Matthew 1:15	7	δὲ	δέ	δέ	G1161	CONJ	
