strongs	word	brief_definition	full_definition
G2339	θήρα, ας, ἡ	hunting, entrapping	hunting, entrapping; prey, game; a net, means of capture.
G2340	θηρεύω	I hunt, seek to catch	I hunt, seek to catch or entrap; met: I lay hold of.
G2341	θηριομαχέω	I fight with wild beasts	I fight with wild beasts (i.e. wild beasts in human form); met: I am exposed to fierce hostility.
G2342	θηρίον, ου, τό	a wild beast, animal	properly: a wild beast, hence: any animal; met: a brute.
G2343	θησαυρίζω	I store up, treasure up, save	I store up, treasure up, save, lay up.
G2344	θησαυρός, οῦ, ὁ	a treasure, store	a store-house for precious things; hence: a treasure, a store.
G2345	θιγγάνω	I touch, handle	I touch, handle, injure, harm.
G2346	θλίβω	I make narrow, persecute, press hard	(a) I make narrow (strictly: by pressure); I press upon, (b) I persecute, press hard.
G2347	θλῖψις, εως, ἡ	persecution, affliction, distress	persecution, affliction, distress, tribulation.
G2348	θνῄσκω	I am dying, am dead	I die, am dying, am dead.
G2349	θνητός, ή, όν	mortal	mortal, subject to death.
G2350	θορυβέω	I disturb greatly, terrify, strike with panic	I disturb greatly, terrify, strike with panic; mid: I show agitation of mind.
G2351	θόρυβος, ου, ὁ	confused noise, riot, disturbance	(a) din, hubbub, confused noise, outcry, (b) riot, disturbance.
G2352	θραύω	I crush, break, shatter	I crush, break, shatter; met: I break down.
G2353	θρέμμα, ατος, τό	cattle	(lit: a nursling, hence probably) plur: cattle.
G2354	θρηνέω	I wail, lament	intrans: I lament, wail; trans: I bewail.
G2355	θρῆνος, ου, ὁ	wailing, lamentation	wailing, lamentation, dirge.
G2356	θρησκεία, ας, ἡ	ritual worship, religion	(underlying sense: reverence or worship of the gods), worship as expressed in ritual acts, religion.
G2357	θρῆσκος, ον	religious	(refers probably to a careful observance of religious restrictions), religious (probably in a limited sense), devout.
G2358	θριαμβεύω	I lead around, make a spectacle of	(properly: I lead one as my prisoner in a triumphal procession, hence) I lead around, make a show (spectacle) of, cause to triumph.
G2359	θρίξ, τριχός, ἡ	a hair	hair (of the head or of animals).
G2360	θροέω	I disturb, agitate	I disturb, agitate; pass: I am troubled, alarmed.
G2361	θρόμβος, ου, ὁ	a clot, large drop	a clot, large drop (of blood).
G2362	θρόνος, ου, ὁ	a throne, seat	a (king's) throne, seat; meton: power, dominion; a potentate.
G2363	Θυάτειρα, ων, τά	Thyatira	Thyatira, a city of the old district Lydia, in the Roman province Asia.
G2364	θυγάτηρ, τρός, ἡ	a daughter	a daughter; hence (Hebraistic?), of any female descendent, however far removed; even of one unrelated: my young lady.
G2365	θυγάτριον, ου, τό	a little daughter	a little (young) daughter.
G2366	θύελλα, ης, ἡ	a storm, tempest	a storm, tempest, whirlwind.
G2367	θύϊνος, η, ον	of the citron tree	of the sandarach (so-called citron) tree.
G2368	θυμίαμα, ατος, τό	incense	incense.
G2369	θυμιατήριον, ου, τό	altar of incense	(ordinarily: censer, but) either the altar of incense, or the shovel, on which the high-priest poured the coals, when he entered the Holy of Holies on the Day of Atonement.
G2370	θυμιάω	I burn incense	I burn incense.
G2371	θυμομαχέω	I am furiously angry with	(lit: I fight desperately, hence) I am furiously angry with.
G2372	θυμός, οῦ, ὁ	an outburst of passion, wrath	an outburst of passion, wrath.
G2373	θυμόω	I provoke to anger, am full of angry passion	I provoke to anger; pass: I am wroth or very angry.
G2374	θύρα, ας, ἡ	a door, opportunity	(a) a door, (b) met: an opportunity.
G2375	θυρεός, οῦ, ὁ	a large shield	the heavy oblong Roman shield.
G2376	θυρίς, ίδος, ἡ	a window-sill	a small opening, window.
G2377	θυρωρός, οῦ, ὁ, ἡ	a door-keeper, porter	a door-keeper, porter.
G2378	θυσία, ας, ἡ	a sacrifice	abstr. and concr: sacrifice; a sacrifice, offering.
G2379	θυσιαστήριον, ου, τό	an altar	an altar (for sacrifice).
G2380	θύω	I sacrifice, kill	I sacrifice, generally an animal; hence: I kill.
G2381	Θωμᾶς, ᾶ, ὁ	Thomas	Thomas, also called Didymus, one of the Twelve.
G2382	θώραξ, ακός, ὁ	a breast-plate	a breast-plate, corslet, cuirass.
G2383	Ἰάειρος, ου, ὁ	Jairus	Jairus, a Jewish ruler of the synagogue.
G2384	Ἰακώβ, ὁ	Jacob	(Hebrew), Jacob, (a) the patriarch, son of Isaac, (b) father of Joseph, the husband of Mary.
G2385	Ἰάκωβος, ου, ὁ	James	James, (a) the Small, son of Alphaeus, and one of the Twelve, (b) half-brother of Jesus, (c) father (?) of Jude, (d) son of Zebedee, and brother of John, one of the Twelve, killed A.D. 44.
G2386	ἴαμα, ατος, τό	healing, curing	healing, curing, remedy.
G2387	Ἰαμβρῆς, ου, ὁ	Jambres	Jambres, a sorcerer at the court of the Pharaoh.
G2388	Ἰαννά, ὁ	Jannai	Jannai, an ancestor of Jesus; Jannai was the son of Joseph, and father of Melchi.
G2389	Ἰαννῆς, ου, ὁ	Jannes	Jannes, a sorcerer at the court of the Pharaoh.
G2390	ἰάομαι	I heal	I heal, generally of the physical, sometimes of spiritual, disease.
G2391	Ἰαρέδ, ὁ	Jared	(Hebrew), Jared, son of Mahalalel and father of Enoch.
G2392	ἴασις, εως, ἡ	a cure, healing	a cure, healing.
G2393	ἴασπις, ιδος, ἡ	jasper	jasper; a precious stone.
G2394	Ἰάσων, ονος, ὁ	Jason	Jason, a Christian of Thessalonica, perhaps the same as the "relative" of Paul.
G2395	ἰατρός, οῦ, ὁ	a physician	a physician.
G2396	ἴδε	See! Lo! Behold! Look!	See! Lo! Behold! Look!.
G2397	ἰδέα, ας, ἡ	form, outward appearance	form, outward appearance.
G2398	ἴδιος, α, ν	one's own, private, personal	one's own, belonging to one, private, personal; one's own people, one's own family, home, property.
G2399	ἰδιώτης, ου, ὁ	an amateur, layman	(unofficial, hence) an amateur, an unprofessional man, a layman; an ungifted person.
G2400	ἰδού	See! Lo! Behold! Look!	See! Lo! Behold! Look!.
G2401	Ἰδουμαία, ας, ἡ	Idumea, Edom	Idumea, Edom, a district of Arabia, immediately south of Judea.
G2402	ἱδρώς, ῶτος, ὁ	sweat, perspiration	sweat, perspiration.
G2403	Ἰεζάβελ, ἡ	Jezebel	Jezebel, name given to a false prophetess of Thyatira, possibly borrowed from the name of Ahab's wife, queen of Israel.
G2404	Ἱεράπολις, εως, ἡ	Hierapolis	Hierapolis, a city of the Lycus valley in Phrygia, near Laodicea and Colossae.
G2405	ἱερατεία, ας, ἡ	the duty of a priest	the duty (office) of a priest, priesthood.
G2406	ἱεράτευμα, ατος, τό	the act or office of priesthood	the act or office of priesthood.
G2407	ἱερατεύω	I serve as priest	I serve as priest.
G2408	Ἰερεμίας, ου, ὁ	Jeremiah	Jeremiah, Hebrew prophet.
G2409	ἱερεύς, έως, ὁ	a priest	a priest, one who offers sacrifice to a god (in Jewish and pagan religions; of Christians only met.).
G2410	Ἰεριχώ, ἡ	Jericho	Jericho, a city a little north of the Dead Sea.
G2411	ἱερόν, οῦ, τό	a temple	a temple, either the whole building, or specifically the outer courts, open to worshippers.
G2412	ἱεροπρεπής, ές	suitable to a sacred character, reverent	suitable to a sacred character, reverent.
G2413	ἱερός, ά, όν	sacred, holy	sacred, holy, set apart.
G2414	Ἱεροσόλυμα, ατος, τά, ἡ	Jerusalem	the Greek form of the Hebrew name: Jerusalem.
G2415	Ἱεροσολυμίτης, ου, ὁ	an inhabitant of Jerusalem	an inhabitant of Jerusalem.
G2416	ἱεροσυλέω	I commit sacrilege	I commit sacrilege, rob a temple.
G2417	ἱερόσυλος, ον	robbing temples, sacrilegious	robbing temples, but possibly simply: sacrilegious.
G2418	ἱερουργέω	I minister in holy things	I minister in holy things.
G2419	Ἱερουσαλήμ, ἡ	Jerusalem	(Aramaic form), Jerusalem, the capital of Palestine: hence Judaism, and allegorically, Christendom, the Christian Church.
G2420	ἱερωσύνη, ης, ἡ	the priestly office	the abstract notion of the priestly office.
G2421	Ἰεσσαί, ὁ	Jesse	(Hebrew), Jesse, son of Obed, and father of King David.
G2422	Ἰεφθάε, ὁ	Jephthah	(Hebrew), Jephthah, one of the Judges of Israel.
G2423	Ἰεχονίας, ου, ὁ	Jechoniah	(Hebrew), Jechoniah, son of Josiah and father of Salathiel.
G2424	Ἰησοῦς, οῦ, ὁ	Jesus	Jesus; the Greek form of Joshua; Jesus, son of Eliezer; Jesus, surnamed Justus.
G2425	ἱκανός, ή, όν	sufficient, worthy, many, much	(a) considerable, sufficient, of number, quantity, time, (b) of persons: sufficiently strong (good, etc.), worthy, suitable, with various constructions, (c) many, much.
G2426	ἱκανότης, ητος, ἡ	sufficiency, ability, power	sufficiency, ability, power, fitness.
G2427	ἱκανόω	I make sufficient	I make sufficient, render fit, qualify.
G2428	ἱκετηρία, ας, ἡ	supplication, entreaty	(originally: the olive branch held in the hand of the suppliant), supplication, entreaty.
G2429	ἰκμάς, άδος, ἡ	moisture	moisture.
G2430	Ἰκόνιον, ου, τό	Iconium	Iconium, a Phrygian city of the Roman province Galatia (modern Konia).
G2431	ἱλαρός, ά, όν	joyous, cheerful	joyous, cheerful, not grudging.
G2432	ἱλαρότης, ητος, ἡ	cheerfulness	cheerfulness, graciousness.
G2433	ἱλάσκομαι	I have mercy on, forgive	(a) I have mercy on, show favor to, (b) trans. with object of sins: I forgive, pardon.
G2434	ἱλασμός, οῦ, ὁ	a propitiation, atoning sacrifice	a propitiation (of an angry god), atoning sacrifice.
G2435	ἱλαστήριον, ου, τό	a sin offering, covering	(a) a sin offering, by which the wrath of the deity shall be appeased; a means of propitiation, (b) the covering of the ark, which was sprinkled with the atoning blood on the Day of Atonement.
G2436	ἵλεως	propitious, forgiving	propitious, forgiving, merciful.
G2437	Ἰλλυρικόν, οῦ, τό	Illyricum	Illyricum, a Roman province, afterwards called Dalmatia, bounded by Pannonia on the north, Macedonia on the south, Moesia on the east, and the Adriatic Sea on the west.
G2438	ἱμάς, άντος, ὁ	a thong, strap	a thong, strap, (a) for binding a man who is to be flogged, (b) for fastening a sandal or shoe.
G2439	ἱματίζω	I clothe	I clothe, provide clothing for; pass: I am clothed.
G2440	ἱμάτιον, ου, τό	outer garment	a long flowing outer garment, tunic.
G2441	ἱματισμός, οῦ, ὁ	raiment, clothing	a collective word: raiment, clothing.
G2442	ὁμείρομαι	I long for, love fervently	I desire earnestly, long for; I have a strong affection for, love fervently.
G2443	ἵνα	in order that, so that	in order that, so that.
G2445	Ἰόππη, ης, ἡ	Joppa	Joppa, a coast town of Judea, west-north-west of Jerusalem.
G2446	Ἰορδάνης, ου, ὁ	the Jordan	the Jordan, a great river flowing due south and bounding Galilee, Samaria, and Judea on the east.
G2447	ἰός, οῦ, ὁ	poison, rust	poison, rust; an arrow.
G2448	Ἰούδα, ὁ	Judah, Judas, Jude	Judah, Judas, Jude.
G2449	Ἰουδαία, ας, ἡ	Judea	Judea, a Roman province, capital Jerusalem.
G2450	Ἰουδαΐζω	I live as a Jew	I live as a Jew (in religion, ceremonially).
G2451	Ἰουδαϊκός, ή, όν	Jewish, Judaic	Jewish, Judaic.
G2452	Ἰουδαϊκῶς	in the manner of Jews	in the manner of Jews (religiously, ceremonially).
G2453	Ἰουδαῖος, αία, αῖον	Jewish	Jewish.
G2454	Ἰουδαϊσμός, οῦ, ὁ	the Jewish religion, Judaism	the Jewish religion, Judaism.
G2455	Ἰούδας, α, ὁ	Judah, Judas, Jude	Judah, Judas, Jude.
G2456	Ἰουλία, ας, ἡ	Julia	Julia, a Roman Christian, probably a slave or freed from the Imperial household.
G2457	Ἰούλιος, ου, ὁ	Julius	Julius, a Roman centurion on special service.
G2458	Ἰουνιᾶς, ᾶ, ὁ	Junia	Junia, Junias, a Roman Christian.
G2459	Ἰοῦστος, ου, ὁ	Justus	Justus, (a) a surname of Joseph Barsabbas, one of the two nominated to fill Judas' place as apostle, (b) Titius Justus, a Corinthian Christian, (c) surname of Jesus, a Christian with Paul in Rome.
G2460	ἱππεύς, έως, ὁ	a mounted soldier	a horse-soldier, a mounted soldier, a cavalryman.
G2462	ἵππος, ου, ὁ	a horse	a horse.
G2463	ἶρις, ιδος, ἡ	a rainbow	a rainbow or halo.
G2464	Ἰσαάκ, ὁ	Isaac	(Hebrew), Isaac, the patriarch.
G2465	ἰσάγγελος, ον	like the angels	equal to or like the angels.
G2466	Ἰσαχάρ, ὁ	Issachar	Issachar, a proper name.
G2469	Ἰσκαριώτης, ου, ὁ	Iscariot, a man of Kerioth	Iscariot, surname of Judas.
G2470	ἴσος, η, ον	equal, identical	equal, equivalent, identical.
G2471	ἰσότης, ητος, ἡ	equality	equality; equality of treatment, fairness.
G2472	ἰσότιμος, ον	equally privileged, equal	equally privileged, equal in honor.
G2473	ἰσόψυχος, ον	like-minded	like-minded, of the same mind or spirit.
G2474	Ἰσραήλ, ὁ	Israel	(Hebrew), Israel, surname of Jacob, then the Jewish people, the people of God.
G2475	Ἰσραηλίτης, ου, ὁ	an Israelite	an Israelite, one of the chosen people of Israel, a Jew.
G2476	ἵστημι	I cause to stand, stand	trans: (a) I make to stand, place, set up, establish, appoint; mid: I place myself, stand, (b) I set in balance, weigh; intrans: (c) I stand, stand by, stand still; met: I stand ready, stand firm, am steadfast.
G2477	ἱστορέω	I get acquainted with, visit	I get acquainted with, visit.
G2478	ἰσχυρός, ά, όν	strong, mighty, powerful	strong (originally and generally of physical strength); mighty, powerful, vehement, sure.
G2479	ἰσχύς, ύος, ἡ	strength, power	strength (absolutely), power, might, force, ability.
G2480	ἰσχύω	I am strong, able	I have strength, am strong, am in full health and vigor, am able; meton: I prevail.
G2481	ἴσως	perhaps	perhaps, equally; it may be that.
G2482	Ἰταλία, ας, ἡ	Italy	Italy.
G2483	Ἰταλικός, ή, όν	Italian	Italian.
G2484	Ἰτουραῖος, α, ον	Ituraean	Ituraean, an adjective applied to a district also called Trachonitis, about 60 miles east of the Sea of Galilee, and partly inhabited by the nomad tribe called Ituraeans.
G2485	ἰχθύδιον, ου, τό	a little fish	a small fish.
G2486	ἰχθύς, ύος, ὁ	a fish	a fish.
G2487	ἴχνος, ους, τό	a track, footstep	a track, footstep.
G2488	Ἰωάθαμ, ὁ	Jotham	Jotham, son of Uzziah and father of Ahaz.
G2489	Ἰωάννα, ας, ἡ	Joanna	(Hebrew), Joanna, Johanna, wife of Chuza, Herod's steward.
G2490	Ἰωανάν, ὁ	Joanan	Joanan, a proper name.
G2491	Ἰωάννης, ου, ὁ	John	John: the Baptist, the apostle, a member of the Sanhedrin, or John Mark.
G2492	Ἰώβ, ὁ	Job	(Hebrew), Job, the hero of the book of that name in the Old Testament.
G2493	Ἰωήλ, ὁ	Joel	Joel, the Hebrew prophet.
G2494	Ἰωνάν, ὁ	Jonam	(Hebrew), Jonam, an ancestor of Jesus.
G2495	Ἰωνᾶς, ᾶ, ὁ	Jonah	(Hebrew), Jonah, the Hebrew prophet.
G2496	Ἰωράμ, ὁ	Joram, Jehoram	(Hebrew), Joram, Jehoram, son of Jehoshaphat and father of Uzziah.
G2497	Ἰωρείμ, ὁ	Jorim	(Hebrew), Jorim, an ancestor of Jesus.
G2498	Ἰωσαφάτ, ὁ	Jehoshaphat	(Hebrew), Jehoshaphat, king of Judah, son of Asaph, father of Joram, an ancestor of Jesus.
G2499	Ἰωσῆ	gen. of Joses	(Hebrew), gen. case of Joses (a) son of Eliezer, (b) son of Mary, brother of Jesus, (c) surnamed Barnabas (also called Joseph).
G2500	Ἰωσῆς, ῆτος, ὁ	Joses	(Hebrew), Joses (a) son of Eliezer, (b) son of Mary, half-brother of Jesus, (c) surnamed Barnabas (also called Joseph).
G2501	Ἰωσήφ, ὁ	Joseph	Joseph, a proper name.
G2502	Ἰωσίας, ου, ὁ	Josiah	(Hebrew), Josiah, king of Judah.
G2503	ἰῶτα, τό	a small letter of the Greek alphabet	iota, a small letter of the Greek alphabet, used in the NT (like yod, the Hebrew or rather Aramaic letter which was the smallest of all) to indicate the smallest part.
G2504	κἀγώ	I also, I too	I also, I too, but I.
G2505	καθά	as	just as.
G2506	καθαίρεσις, εως, ἡ	taking down, destroying	taking down, razing, destroying.
G2507	καθαιρέω	I take down, depose, destroy	(a) I take down, pull down, depose, destroy.
G2508	καθαίρω	I cleanse, purify, prune	I cleanse, purify, prune.
G2509	καθάπερ	even as	even as, just as.
G2510	καθάπτω	I lay hold of, fasten on to	I lay hold of, fasten on to, seize, attack.
G2511	καθαρίζω	I make clean	I cleanse, make clean, literally, ceremonially, or spiritually, according to context.
G2512	καθαρισμός, οῦ, ὁ	cleansing, purifying, purification	cleansing, purifying, purification, literal, ceremonial, or moral; met: expiation.
G2513	καθαρός, ά, όν	clean, pure, unstained	clean, pure, unstained, either literally or ceremonially or spiritually; guiltless, innocent, upright.
G2514	καθαρότης, ητος, ἡ	cleanness, purity	cleanness, purity.
G2515	καθέδρα, ας, ἡ	a seat, chair	a seat, chair.
G2516	καθέζομαι	I am sitting, sit, am seated	I am sitting, sit down, am seated.
G2517	καθεξῆς	in order, just after	in order, in succession, in the time immediately after, just after.
G2518	καθεύδω	I sleep, am sleeping	I sleep, am sleeping.
G2519	καθηγητής, ου, ὁ	a leader, teacher, guide	a leader, teacher, guide, master.
G2520	καθήκω	it is fitting	I come down, come to; I am unfit, proper.
G2521	κάθημαι	I sit, am seated	I sit, am seated, enthroned; I dwell, reside.
G2522	καθημερινός, ή, όν	daily	daily, day-by-day.
G2523	καθίζω	I set, make to sit	(a) trans: I make to sit; I set, appoint, (b) intrans: I sit down, am seated, stay.
G2524	καθίημι	I let down	I send, let down, lower.
G2525	καθίστημι	I set, establish, appoint, conduct	I set down, bring down to a place; I set in order, appoint, make, constitute.
G2526	καθό	as, according as	according to which thing, as, according as.
G2527	καθόλου	entirely, at all	one the whole, in general, altogether.
G2528	καθοπλίζω	I arm completely	I arm completely.
G2529	καθοράω	I see clearly	I see clearly, perceive, discern.
G2530	καθότι	according as, because	(a) in proportion as, according as, (b) because.
G2531	καθώς	just as, as	according to the manner in which, in the degree that, just as, as.
G2532	καί	and, even, also, namely	and, even, also, namely.
G2533	Καϊάφας, ᾶ, ὁ	Caiaphas	Caiaphas, Jewish high priest.
G2535	Κάϊν, ὁ	Cain	(Hebrew), Cain, son of Adam and Eve and brother of Abel.
G2536	Καϊνάν, ὁ	Cainan	(Hebrew), Cainan, one of the ancestors of Jesus.
G2537	καινός, ή, όν	fresh, new	fresh, new, unused, novel.
G2538	καινότης, ητος, ἡ	freshness, newness	freshness, newness, novelty.
G2539	καίπερ	although	although, though.
G2540	καιρός, οῦ, ὁ	fitting season, opportunity, time	fitting season, season, opportunity, occasion, time.
G2541	Καῖσαρ, αρος, ὁ	Caesar	Caesar, a surname of the gens Iulia, which became practically synonymous with the Emperor for the time being; in the Gospels it always refers to Tiberias.
G2542	Καισάρεια, ας, ἡ	Caesarea	Two cities of Palestine: one in Galilee (Caesarea Philippi), the other on the coast of the Mediterranean.
G2543	καίτοι	and yet, although	and yet, although, though.
G2544	καίτοιγε	and yet, although	and yet, although, indeed.
G2545	καίω	I ignite, light, burn	I ignite, light, burn, lit. and met; I consume with fire.
G2546	κἀκεῖ	and there, and yonder	and there, and yonder, there also.
G2547	κἀκεῖθεν	and thence, and from there	and thence, and from there; and then afterwards.
G2548	κἀκεῖνος, η, ο	and he, she, it, and that	and he, she, it, and that.
G2549	κακία, ας, ἡ	evil, wickedness, malice	(a) evil (i.e. trouble, labor, misfortune), (b) wickedness, (c) vicious disposition, malice, spite.
G2550	κακοήθεια, ας, ἡ	evil-mindedness	evil-mindedness, malignity, malevolence.
G2551	κακολογέω	I speak evil of, curse	I speak evil of, curse, revile, abuse.
G2552	κακοπάθεια, ας, ἡ	suffering	experience of evil, suffering, distress, affliction, perseverance.
G2553	κακοπαθέω	I suffer evil, endure affliction	I suffer evil, endure affliction.
G2554	κακοποιέω	I do harm, do wrong	I do harm, do wrong, do evil, commit sin.
G2555	κακοποιός, όν	an evil-doer	doing evil; subst: an evil-doer.
G2556	κακός, ή, όν	bad, evil	bad, evil, in the widest sense.
G2557	κακοῦργος, ον	a criminal	(lit: an evil-worker), a criminal.
G2558	κακουχέω	I treat evilly	I treat evilly, hurt, torment.
G2559	κακόω	I treat badly	I treat badly, afflict, embitter, make angry.
G2560	κακῶς	badly, evilly	badly, evilly, wrongly.
G2561	κάκωσις, εως, ἡ	affliction, ill-treatment	affliction, ill-treatment, oppression, misery.
G2562	καλάμη, ῆς, ἡ	stubble	stubble, straw, the stalk.
G2563	κάλαμος, ου, ὁ	a reed, reed-pen	a reed; a reed-pen, reed-staff, measuring rod.
G2564	καλέω	I call, invite, name	(a) I call, summon, invite, (b) I call, name.
G2565	καλλιέλαιος, οῦ, ἡ	a cultivated olive tree	a cultivated olive tree.
G2566	κάλλιον	very well	very well.
G2567	καλοδιδάσκαλος, ου, ὁ, ἡ	a teacher of that which is noble	a teacher of that which is noble (honorable) and good.
G2569	καλοποιέω	I act uprightly	I do well, act honorably, do what is right.
G2570	καλός, ή, όν	beautiful, good, worthy	beautiful, as an outward sign of the inward good, noble, honorable character; good, worthy, honorable, noble, and seen to be so.
G2571	κάλυμμα, ατος, τό	a veil	a covering, especially a covering of head and face, a veil.
G2572	καλύπτω	I veil, hide, conceal, envelop	I veil, hide, conceal, envelop.
G2573	καλῶς	well, nobly, rightly	well, nobly, honorably, rightly.
G2574	κάμηλος, ου, ὁ, ἡ	a camel	a camel or dromedary.
G2575	κάμινος, ου, ἡ	a furnace	a furnace, oven, kiln.
G2576	καμμύω	I close	I close, shut the eyes.
G2577	κάμνω	I am weary, ill	I work, am weary, am sick.
G2578	κάμπτω	I bend, bow	I bend, bow.
G2579	κἄν	and if, even if	and if, even if, even, at least.
G2580	Κανᾶ, ἡ	Cana	Cana, a town in Galilee.
G2581	Κανανίτης, ου, ὁ	a Canaanite	a Canaanite.
G2582	Κανδάκη, ης, ἡ	Candace	Candace, a proper name; the Candace, a dynastic name for queens of the Ethiopians in Abyssinia.
G2583	κανών, όνος, ὁ	rule, regulation, province	(lit: a level, ruler), a rule, regulation, rule of conduct or doctrine, (b) a measured (defined) area, province.
G2584	Καπερναούμ, ἡ	Capernaum	Capernaum, a town of Galilee.
G2585	καπηλεύω	I hawk, trade in	I hawk, trade in, deal in for purposes of gain.
G2586	καπνός, οῦ, ὁ	smoke	smoke.
G2587	Καππαδοκία, ας, ἡ	Cappadocia	Cappadocia, a large Roman province in the central eastern part of Asia Minor.
G2588	καρδία, ας, ἡ	the heart, inner life, intention	lit: the heart; mind, character, inner self, will, intention, center.
G2589	καρδιογνώστης, ου, ὁ	a knower of the inner life	a knower of the inner life (character, hearts).
G2590	καρπός, οῦ, ὁ	fruit, result, gain	(a) fruit, generally vegetable, sometimes animal, (b) met: fruit, deed, action, result, (c) profit, gain.
G2591	Κάρπος, ου, ὁ	Carpus	Carpus, a Christian of Troas.
G2592	καρποφορέω	I bear fruit	I bear fruit.
G2593	καρποφόρος, ον	fruitful	fruitful.
G2594	καρτερέω	I persevere, endure	I persevere, endure, am steadfast, patient.
G2595	κάρφος, ους, τό	a dry stalk, chip of wood	a dry stalk, chip of wood, twig, splinter, chaff.
G2596	κατά	down from, against, according to, throughout, during	gen: against, down from, throughout, by; acc: over against, among, daily, day-by-day, each day, according to, by way of.
G2597	καταβαίνω	I go down, come down	I go down, come down, either from the sky or from higher land, descend.
G2598	καταβάλλω	I cast, lay down	(a) mid: I lay, of a foundation, (b) met: I cast down, prostrate.
G2599	καταβαρέω	I burden, oppress	I burden, oppress, weigh down.
G2600	κατάβασις, εως, ἡ	descent	descent.
G2601	καταβιβάζω	I bring down, cause to go down	I bring down, cast down, cause to go down.
G2602	καταβολή, ῆς, ἡ	a foundation, depositing, sowing	(a) foundation, (b) depositing, sowing, deposit, technically used of the act of conception.
G2603	καταβραβεύω	I decide against, condemn	of the umpire in a contest: I decide against, take part against, condemn (perhaps with the idea of assumption, officialism).
G2604	καταγγελεύς, έως, ὁ	a reporter, herald	a reporter, announcer, proclaimer, herald.
G2605	καταγγέλλω	I declare openly, preach	I declare openly, proclaim, preach, laud, celebrate.
G2606	καταγελάω	I laugh at, ridicule	I laugh at, ridicule.
G2607	καταγινώσκω	I condemn, blame	I condemn, blame.
G2608	κατάγνυμι	I break in pieces	I break down (in pieces), crush, break into.
G2609	κατάγω	I lead down, bring down	I lead down, bring down, either from a high place on land or to a lower (or actually to the sea-coast), or from the high seas to land.
G2610	καταγωνίζομαι	I subdue	I subdue (in warfare); I struggle against, conquer, overcome.
G2611	καταδέω	I bind up	I bind up, bandage.
G2612	κατάδηλος, ον	quite clear	quite clear, evident.
G2613	καταδικάζω	I condemn	I condemn, pass sentence upon.
G2614	καταδιώκω	I hunt down, follow closely	I hunt down, follow closely.
G2615	καταδουλόω	I enslave	I enslave.
G2616	καταδυναστεύω	I overpower, quell, treat harshly	I overpower, quell, treat harshly.
G2617	καταισχύνω	I shame, disgrace, put to utter confusion	I shame, disgrace, bring to shame, put to utter confusion, frustrate.
G2618	κατακαίω	I burn up, consume entirely	I burn up, consume entirely.
G2619	κατακαλύπτω	I veil, cover the head	I veil, cover the head.
G2620	κατακαυχάομαι	I boast against	I boast against, exult over.
G2621	κατάκειμαι	I recline, am lying ill	I recline (at table); more often: I keep my bed, am lying ill (in bed).
G2622	κατακλάω	I break in pieces	I break in pieces, break up.
G2623	κατακλείω	I shut up, confine	I shut up, confine.
G2624	κατακληρονομέω	I give as an inheritance	I give as an inheritance, distribute by lot.
G2625	κατακλίνω	I recline, cause to recline	I cause to recline at table; mid. and pass: I recline at table.
G2626	κατακλύζω	I flood over, overwhelm	I flood over, overwhelm, inundate.
G2627	κατακλυσμός, οῦ, ὁ	a deluge, flood	a deluge, flood.
G2628	κατακολουθέω	I follow after	I follow after.
G2629	κατακόπτω	I beat, wound	I cut up, cut in pieces, mangle, wound.
G2630	κατακρημνίζω	I cast down headlong	I cast down headlong, throw over a precipice.
G2631	κατάκριμα, ατος, τό	punishment following condemnation	punishment following condemnation, penal servitude, penalty.
G2632	κατακρίνω	I condemn	I condemn, judge worthy of punishment.
G2633	κατάκρισις, εως, ἡ	the act of condemnation	condemnation, censure.
G2634	κατακυριεύω	I exercise authority over, overpower	I exercise authority over, overpower, master.
G2635	καταλαλέω	I speak evil of	I speak evil of, rail at, slander.
G2636	καταλαλιά, ας, ἡ	evil-speaking, backbiting, detraction	evil-speaking, backbiting, detraction, slander.
G2637	κατάλαλος, ον	slanderous, back-biting	slanderous, back-biting; subst: a railer, defamer.
G2638	καταλαμβάνω	I seize tight hold of, overtake, comprehend	(a) I seize tight hold of, arrest, catch, capture, appropriate, (b) I overtake, (c) mid. aor: I perceived, comprehended.
G2639	καταλέγω	I enter in a list, register	I enter in a list, register, enroll.
G2640	κατάλειμμα, ατος, τό	a remnant, small residue	a remnant, small residue.
G2641	καταλείπω	I leave behind, abandon	I leave behind, desert, abandon, forsake; I leave remaining, reserve.
G2642	καταλιθάζω	I stone down, stone to death	I stone down, stone to death, overwhelm with stones.
G2643	καταλλαγή, ῆς, ἡ	reconciliation	reconciliation, restoration to favor.
G2644	καταλλάσσω	I reconcile	I change, exchange, reconcile.
G2645	κατάλοιπος, ον	left behind, the remainder	left behind; the rest, the remainder.
G2646	κατάλυμα, ατος, τό	an inn, lodging-place	an inn, lodging-place.
G2647	καταλύω	I break up, overthrow, unharness, find a lodging	(lit: I loosen thoroughly), (a) trans: I break up, overthrow, destroy, both lit. and met., (b) I unyoke, unharness a carriage horse or pack animal; hence: I put up, lodge, find a lodging.
G2648	καταμανθάνω	I understand, consider carefully	I understand, take in a fact about, consider carefully.
G2649	καταμαρτυρέω	I give evidence against	I give evidence (bear witness) against.
G2650	καταμένω	I wait, stay, remain, abide	I wait, stay (with), remain, abide, dwell.
G2651	καταμόνας	alone, apart, in private	along, apart, in private.
