strongs	word	brief_definition	full_definition
G4835	συμπαθής, ές	sympathizing, compassionate	sympathizing, compassionate.
G4836	συμπαραγίνομαι	I come together with, help	I come together with, stand by one, help.
G4837	συμπαρακαλέω	I invite, encourage along with others	I invite, encourage along with others; pass: I share in encouragement with.
G4838	συμπαραλαμβάνω	I take along as a companion	I take along as a companion.
G4839	συμπαραμένω	I remain or continue together with	I remain or continue together with.
G4840	συμπάρειμι	I am present together with	I am present together with.
G4841	συμπάσχω	I suffer together with	I suffer together with, sympathize.
G4842	συμπέμπω	I send together with	I send together with.
G4843	συμπεριλαμβάνω	I embrace completely	I embrace completely.
G4844	συμπίνω	I drink together with	I drink together with.
G4845	συμπληρόω	I fill completely	I fill completely; pass: I am completed.
G4846	συμπνίγω	I choke utterly, crowd upon	I choke utterly, as weeds do plants; I crowd upon.
G4847	συμπολίτης, ου, ὁ	a fellow citizen	a fellow citizen.
G4848	συμπορεύομαι	I journey together with, assemble	I journey together with; I come together, assemble.
G4849	συμπόσιον, ου, τό	a drinking party, festive company	a drinking party, festive company.
G4850	συμπρεσβύτερος, ου, ὁ	a fellow elder	a fellow elder.
G4851	συμφέρω	I collect, am profitable to	I bring together, collect; I am profitable to.
G4852	σύμφημι	I assent to	I assent to, consent, confess, agree with.
G4853	συμφυλέτης, ου, ὁ	a fellow country-man	one of the same tribe, a fellow country-man.
G4854	σύμφυτος, ον	grown together, united with	grown together, united with.
G4855	συμφύω	I grow at the same time	I grow at the same time.
G4856	συμφωνέω	I agree with	I agree with, harmonize with, agree together.
G4857	συμφώνησις, εως, ἡ	harmony, agreement	harmony, agreement, concord.
G4858	συμφωνία, ας, ἡ	harmony of instruments, music	harmony of instruments, music.
G4859	σύμφωνος, ον	harmonious, agreeing with	harmonious, agreeing with.
G4860	συμψηφίζω	I compute, reckon up	I compute, reckon up, count together.
G4861	σύμψυχος, ον	of one accord	of one accord.
G4862	σύν	with	with.
G4863	συνάγω	I gather together	I gather together, collect, assemble, receive with hospitality, entertain.
G4864	συναγωγή, ῆς, ἡ	an assembly, congregation, synagogue	an assembly, congregation, synagogue, either the place or the people gathered together in the place.
G4865	συναγωνίζομαι	I struggle in company with	I struggle in company with, aid.
