strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H5979	עֶמְדָּה	ʻemdâh	em-daw'	n-f	heb	from 5975;	a station, i.e. domicile	standing.
H5980	עֻמָּה	ʻummâh	oom-maw'	n-f	heb	from 6004;	conjunction, i.e. society; mostly adverb or preposition (with prepositional prefix), near, beside, along with	(over) against, at, beside, hard by, in points.
H5981	עֻמָּה	ʻUmmâh	oom-maw'	n-pr-loc	x-pn	the same as 5980; association;	Ummah, a place in Palestine	Ummah.
H5982	עַמּוּד	ʻammûwd	am-mood'	n-m	heb	or עַמֻּד; from 5975;	a column (as standing); also a stand, i.e. platform	× apiece, pillar.
H5983	עַמּוֹן	ʻAmmôwn	am-mone'	n-pr-m	x-pn	from 5971; tribal, i.e. inbred;	Ammon, a son of Lot; also his posterity and their country	Ammon, Ammonites.
H5984	עַמּוֹנִי	ʻAmmôwnîy	am-mo-nee'	a	x-pn	patronymically from 5983;	an Ammonite or (the adjective) Ammonitish	Ammonite(-s).
H5985	עַמּוֹנִית	ʻAmmôwnîyth	am-mo-neeth'	a	x-pn	feminine of 5984;	an Ammonitess	Ammonite(-ss).
H5986	עָמוֹס	ʻÂmôwç	aw-moce'	n-pr-m	x-pn	from 6006; burdensome;	Amos, an Israelite prophet	Amos.
H5987	עָמוֹק	ʻÂmôwq	aw-moke'	n-pr-m	x-pn	from 6009; deep;	Amok, an Israelite	Amok.
H5988	עַמִּיאֵל	ʻAmmîyʼêl	am-mee-ale'	n-pr-m	x-pn	from 5971 and 410; people of God;	Ammiel, the name of three or four Israelites	Ammiel.
H5989	עַמִּיהוּד	ʻAmmîyhûwd	am-mee-hood'	n-pr-m	x-pn	from 5971 and 1935; people of splendor;	Ammihud, the name of three Israelites	Ammihud.
H5990	עַמִּיזָבָד	ʻAmmîyzâbâd	am-mee-zaw-bawd'	n-pr-m	x-pn	from 5971 and 2064; people of endowment;	Ammizabad, an Israelite	Ammizabad.
H5991	עַמִּיחוּר	ʻAmmîychûwr	am-mee-khoor'	n-pr-m	x-pn	from 5971 and 2353; people of nobility;	Ammichur, a Syrian prince	Ammihud (from the margin).
H5992	עַמִּינָדָב	ʻAmmîynâdâb	am-mee-naw-dawb'	n-pr-m	x-pn	from 5971 and 5068; people of liberality;	Amminadab, the name of four Israelites	Amminadab.
H5993	עַמִּי נָדִיב	ʻAmmîy Nâdîyb	am-mee' naw-deeb'	n-pr-m	x-pn	from 5971 and 5081; my people (is) liberal;	Ammi-Nadib, probably an Israelite	Amminadib.
H5994	עֲמִיק	ʻămîyq	am-eek'	a	arc	(Aramaic) corresponding to 6012;	profound, i.e. unsearchable	deep.
H5995	עָמִיר	ʻâmîyr	aw-meer'	n-m	heb	from 6014;	a bunch of grain	handful, sheaf.
H5996	עַמִּישַׁדַּי	ʻAmmîyshadday	am-mee-shad-dah'ee	n-pr-m	x-pn	from 5971 and 7706; people of (the) Almighty;	Ammishaddai, an Israelite	Ammishaddai.
H5997	עָמִית	ʻâmîyth	aw-meeth'	n-m	heb	from a primitive root meaning to associate;	companionship; hence (concretely) a comrade or kindred man	another, fellow, neighbour.
H5998	עָמַל	ʻâmal	aw-mal'	v	heb	a primitive root;	to toil, i.e. work severely and with irksomeness	(take) labour (in).
H5999	עָמָל	ʻâmâl	aw-mawl'	n	heb	from 5998;	toil, i.e. wearing effort; hence, worry, whether of body or mind	grievance(-vousness), iniquity, labour, mischief, miserable(-sery), pain(-ful), perverseness, sorrow, toil, travail, trouble, wearisome, wickedness.
H6000	עָמָל	ʻÂmâl	aw-mawl'	n-pr-m	x-pn	the same as 5999;	Amal, an Israelite	Amal.
H6001	עָמֵל	ʻâmêl	aw-male'	n-m a	heb	from 5998;	toiling; concretely, a laborer; figuratively, sorrowful	that laboureth, that is a misery, had taken (labour), wicked, workman.
H6002	עֲמָלֵק	ʻĂmâlêq	am-aw-lake'	n-pr-m	x-pn	probably of foreign origin;	Amalek, a descendant of Esau; also his posterity and their country	Amalek.
H6003	עֲמָלֵקִי	ʻĂmâlêqîy	am-aw-lay-kee'	a	x-pn	patronymically from 6002;	an Amalekite (or collectively the Amalekites) or descendants of Amalek	Amalekite(-s).
H6004	עָמַם	ʻâmam	aw-mam'	v	heb	a primitive root;	to associate; by implication, to overshadow (by huddling together)	become dim, hide.
H6005	עִמָּנוּאֵל	ʻImmânûwʼêl	im-maw-noo-ale'	n-pr-m	x-pn	from 5973 and with a pronominal suffix inserted; with us (is) God;	Immanuel, a type name of Isaiah's son	Immanuel.
H6006	עָמַס	ʻâmaç	aw-mas'	v	heb	or עָמַשׂ; a primitive root;	to load, i.e. impose a burden (or figuratively, infliction)	be borne, (heavy) burden (self), lade, load, put.
H6007	עֲמַסְיָה	ʻĂmaçyâh	am-as-yaw'	n-pr-m	x-pn	from 6006 and 3050; Jah has loaded;	Amasjah, an Israelite	Amasiah.
H6008	עַמְעָד	ʻAmʻâd	am-awd'	n-pr-loc	x-pn	from 5971 and 5703; people of time;	Amad, a place in Palestine	Amad.
H6009	עָמַק	ʻâmaq	aw-mak'	v	heb	a primitive root;	to be (causatively, make) deep (literally or figuratively)	(be, have, make, seek) deep(-ly), depth, be profound.
H6010	עֵמֶק	ʻêmeq	ay'-mek	n-m	heb	from 6009;	a vale (i.e. broad depression)	dale, vale, valley (often used as a part of proper names). See also 1025.
H6011	עֹמֶק	ʻômeq	o'-mek	n-m	heb	from 6009;	depth	depth.
H6012	עָמֵק	ʻâmêq	aw-make'	a	heb	from 6009;	deep (literally or figuratively)	deeper, depth, strange.
H6013	עָמֹק	ʻâmôq	aw-moke'	a	heb	from 6009;	deep (literally or figuratively)	(× exceeding) deep (thing).
H6014	עָמַר	ʻâmar	aw-mar'	v	heb	a primitive root; specifically (as denominative from 6016)	properly, apparently to heap; figuratively, to chastise (as if piling blows); to gather grain	bind sheaves, make merchandise of.
H6015	עֲמַר	ʻămar	am-ar'	n-m	arc	(Aramaic) corresponding to 6785;	wool	wool.
H6016	עֹמֶר	ʻômer	o'-mer	n-m	heb	from 6014;	properly, a heap, i.e. a sheaf; also an omer, as a dry measure	omer, sheaf.
H6017	עֲמֹרָה	ʻĂmôrâh	am-o-raw'	n-pr-loc	x-pn	from 6014; a (ruined) heap;	Amorah, a place in Palestine	Gomorrah.
H6018	עׇמְרִי	ʻOmrîy	om-ree'	n-pr-m	x-pn	from 6014; heaping;	Omri, an Israelite	Omri.
H6019	עַמְרָם	ʻAmrâm	am-rawm'	n-pr-m	x-pn	probably from 5971 and 7311; high people;	Amram, the name of two Israelites	Amram.
H6020	עַמְרָמִי	ʻAmrâmîy	am-raw-mee'	a	x-pn	from 6019;	an Amramite or descendant of Amram	Amramite.
H6021	עֲמָשָׂא	ʻĂmâsâʼ	am-aw-saw'	n-pr-m	x-pn	from 6006; burden;	Amasa, the name of two Israelites	Amasa.
H6022	עֲמָשַׂי	ʻĂmâsay	am-aw-sah'-ee	n-pr-m	x-pn	from 6006; burdensome;	Amasai, the name of three Israelites	Amasai.
H6023	עֲמַשְׁסַי	ʻĂmashçay	am-ash-sah'-ee	n-pr-m	x-pn	probably from 6006; burdensome;	Amashsay, an Israelite	Amashai.
H6024	עֲנָב	ʻĂnâb	an-awb'	n-pr-loc	x-pn	from the same as 6025; fruit;	Anab, a place in Palestine	Anab.
H6025	עֵנָב	ʻênâb	ay-nawb'	n-m	heb	from an unused root probably meaning to bear fruit;	a grape	(ripe) grape, wine.
H6026	עָנַג	ʻânag	aw-nag'	v	heb	a primitive root;	to be soft or pliable, i.e. (figuratively) effeminate or luxurious	delicate(-ness), (have) delight (self), sport self.
H6027	עֹנֶג	ʻôneg	o'-neg	n-m	heb	from 6026;	luxury	delight, pleasant.
H6028	עָנֹג	ʻânôg	aw-nogue'	a	heb	from 6026;	luxurious	delicate.
H6029	עָנַד	ʻânad	aw-nad'	v	heb	a primitive root;	to lace fast	bind, tie.
H6030	עָנָה	ʻânâh	aw-naw'	v	heb	a primitive root;	properly, to eye or (generally) to heed, i.e. pay attention; by implication, to respond; by extension to begin to speak; specifically to sing, shout, testify, announce	give account, afflict (by mistake for 6031), (cause to, give) answer, bring low (by mistake for 6031), cry, hear, Leannoth, lift up, say, × scholar, (give a) shout, sing (together by course), speak, testify, utter, (bear) witness. See also 1042, 1043.
H6031	עָנָה	ʻânâh	aw-naw'	v	heb	a primitive root (possibly rather identical with 6030 through the idea of looking down or browbeating);	to depress literally or figuratively, transitive or intransitive (in various applications, as follows)	abase self, afflict(-ion, self), answer (by mistake for 6030), chasten self, deal hardly with, defile, exercise, force, gentleness, humble (self), hurt, ravish, sing (by mistake for 6030), speak (by mistake for 6030), submit self, weaken, × in any wise.
H6032	עֲנָה	ʻănâh	an-aw'	v	arc	(Aramaic) corresponding to 6030		answer, speak.
H6033	עֲנָה	ʻănâh	an-aw'	a	arc	(Aramaic) corresponding to 6031		poor.
H6034	עֲנָה	ʻĂnâh	an-aw'	n-pr-m n-pr-f	x-pn	probably from 6030; an answer;	Anah, the name of two Edomites and one Edomitess	Anah.
H6035	עָנָו	ʻânâv	aw-nawv'	n-m	heb	or (by intermixture with 6041) עָנָיו; from 6031;	depressed (figuratively), in mind (gentle) or circumstances (needy, especially saintly)	humble, lowly, meek, poor. Compare 6041.
H6036	עָנוּב	ʻÂnûwb	aw-noob'	n-pr-m	x-pn	passive participle from the same as 6025; borne (as fruit);	Anub, an Israelite	Anub.
H6037	עַנְוָה	ʻanvâh	an-vaw'	n-f	heb	feminine of 6035;	mildness (royal); also (concretely) oppressed	gentleness, meekness.
H6038	עֲנָוָה	ʻănâvâh	an-aw-vaw'	n-f	heb	from 6035;	condescension, human and subjective (modesty), or divine and objective (clemency)	gentleness, humility, meekness.
H6039	עֱנוּת	ʻĕnûwth	en-ooth'	n-f	heb	from 6031;	affliction	affliction.
H6040	עֳנִי	ʻŏnîy	on-ee'	n-m	heb	from 6031;	depression, i.e. misery	afflicted(-ion), trouble.
H6041	עָנִי	ʻânîy	aw-nee'	a	heb	from 6031; (practically the same as 6035, although the margin constantly disputes this, making 6035 subjective and objective);	depressed, in mind or circumstances	afflicted, humble, lowly, needy, poor.
H6042	עֻנִּי	ʻUnnîy	oon-nee'	n-pr-m	x-pn	from 6031; afflicted;	Unni, the name of two Israelites	Unni.
H6043	עֲנָיָה	ʻĂnâyâh	an-aw-yaw'	n-pr-m	x-pn	from 6030; Jah has answered;	Anajah, the name of two Israelites	Anaiah.
H6044	עָנִים	ʻÂnîym	aw-neem'	n-pr-loc	x-pn	for plural of 5869; fountains;	Anim, a place in Palestine	Anim.
H6045	עִנְיָן	ʻinyân	in-yawn'	n-m	heb	from 6031;	ado, i.e. (generally) employment or (specifically) an affair	business, travail.
H6046	עָנֵם	ʻÂnêm	aw-name'	n-pr-loc	x-pn	from the dual of 5869; two fountains;	Anem, a place in Palestine	Anem.
H6047	עֲנָמִים	ʻĂnâmîym	an-aw-meem'	n	x-pn	as if plural of some Egyptian word;	Anamim, a son of Mizraim and his descendants, with their country	Anamim.
H6048	עֲנַמֶּלֶךְ	ʻĂnammelek	an-am-meh'-lek	n-pr	x-pn	of foreign origin;	Anammelek, an Assyrian deity	Anammelech.
H6049	עָנַן	ʻânan	aw-nan'	v	heb	a primitive root; to cover; used only as a denominative from 6051, to cloud over;	figuratively, to act covertly, i.e. practise magic	× bring, enchanter, Meonemin, observe(-r of) times, soothsayer, sorcerer.
H6050	עֲנַן	ʻănan	an-an'	n-m	arc	(Aramaic) corresponding to 6051		cloud.
H6051	עָנָן	ʻânân	aw-nawn'	n-m	heb	from 6049;	a cloud (as covering the sky), i.e. the nimbus or thunder-cloud	cloud(-y).
H6052	עָנָן	ʻÂnân	aw-nawn'	n-pr-m	x-pn	the same as 6051; cloud;	Anan, an Israelite	Anan.
H6053	עֲנָנָה	ʻănânâh	an-aw-naw'	n-f	heb	feminine of 6051;	cloudiness	cloud.
H6054	עֲנָנִי	ʻĂnânîy	an-aw-nee'	n-pr-m	x-pn	from 6051; cloudy;	Anani, an Israelite	Anani.
H6055	עֲנַנְיָה	ʻĂnanyâh	an-an-yaw'	n-pr-m n-pr-loc	x-pn	from 6049 and 3050; Jah has covered;	Ananjah, the name of an Israelite and of a place in Palestine	Ananiah.
H6056	עֲנַף	ʻănaph	an-af'	n-m	arc	(Aramaic) or עֶנֶף; (Aramaic), corresponding to 6057		bough, branch.
H6057	עָנָף	ʻânâph	aw-nawf'	n-m	heb	from an unused root meaning to cover;	a twig (as covering the limbs)	bough, branch.
H6058	עָנֵף	ʻânêph	aw-nafe'	a	heb	from the same as 6057;	branching	full of branches.
H6059	עָנַק	ʻânaq	aw-nak'	v	heb	a primitive root; properly, to choke; used only as denominative from 6060,	to collar, i.e. adorn with a necklace; figuratively, to fit out with supplies	compass about as a chain, furnish, liberally.
H6060	עָנָק	ʻânâq	aw-nawk'	n-m	heb	from 6059;	a necklace (as if strangling)	chain.
H6061	עָנָק	ʻÂnâq	aw-nawk'	n-pr-m	x-pn	the same as 6060;	Anak, a Canaanite	Anak.
H6062	עֲנָקִי	ʻĂnâqîy	an-aw-kee'	a	x-pn	patronymically from 6061;	an Anakite or descendant of Anak	Anakim.
H6063	עָנֵר	ʻÂnêr	aw-nare'	n-pr-m n-pr-loc	x-pn	probably for 5288;	Aner, a Amorite, also a place in Palestine	Aner.
H6064	עָנַשׁ	ʻânash	aw-nash'	v	heb	a primitive root;	properly, to urge; by implication, to inflict a penalty, specifically, to fine	amerce, condemn, punish, × surely.
H6065	עֲנַשׁ	ʻănash	an-ash'	n-m	arc	(Aramaic) corresponding to 6066;	a mulct	confiscation.
H6066	עֹנֶשׁ	ʻônesh	o'-nesh	n-m	heb	from 6064;	a fine	punishment, tribute.
H6067	עֲנָת	ʻĂnâth	an-awth'	n-pr-m	x-pn	from 6030; answer;	Anath, an Israelite	Anath.
H6068	עֲנָתוֹת	ʻĂnâthôwth	an-aw-thoth'	n-pr-m n-pr-loc	x-pn	plural of 6067;	Anathoth, the name of two Israelites, also of a place in Pal	Anathoth.
H6069	עַנְתֹתִי	ʻAnthôthîy	an-tho-thee'	a	x-pn	or עַנְּתוֹתִי; patrial from 6068;	a Antothite or inhabitant of Anathoth	of Anathoth, Anethothite, Anetothite, Antothite.
H6070	עַנְתֹתִיָּה	ʻAnthôthîyâh	an-tho-thee-yaw'	n-pr-m	x-pn	from the same as 6068 and 3050; answers of Jah;	Anthothijah, an Israelite	Antothijah.
H6071	עָסִיס	ʻâçîyç	aw-sees'	n-m	heb	from 6072;	must or fresh grape-juice (as just trodden out)	juice, new (sweet) wine.
H6072	עָסַס	ʻâçaç	aw-sas'	v	heb	a primitive root;	to squeeze out juice; figuratively, to trample	tread down.
H6073	עֳפֶא	ʻŏpheʼ	of-eh'	n-m	heb	from an unused root meaning to cover;	a bough (as covering the tree)	branch.
H6074	עֳפִי	ʻŏphîy	of-ee'	n-m	arc	(Aramaic) corresponding to 6073;	a twig; bough, i.e. (collectively) foliage	leaves.
H6075	עָפַל	ʻâphal	aw-fal'	v	heb	a primitive root;	to swell; figuratively, be elated	be lifted up, presume.
H6076	עֹפֶל	ʻôphel	o'-fel	n-m	heb	from 6075;	a tumor; also a mound, i.e. fortress	emerod, fort, strong hold, tower.
H6077	עֹפֶל	ʻÔphel	o'-fel	n-pr-loc	x-pn	the same as 6076;	Ophel, a ridge in Jerusalem	Ophel.
H6078	עׇפְנִי	ʻOphnîy	of-nee'	n-pr-loc	x-pn	from an unused noun (denoting a place in Palestine; from an unused root of uncertain meaning);	an Ophnite (collectively) or inhabitants of Ophen	Ophni.
H6079	עַפְעַף	ʻaphʻaph	af-af'	n-m	heb	from 5774;	an eyelash (as fluttering); figuratively, morning ray	dawning, eye-lid.
H6080	עָפַר	ʻâphar	aw-far'	v	heb	; a primitive root; meaning either to be gray or perhaps rather to pulverize; used only as denominative from 6083,	to be dust	cast (dust).
H6081	עֵפֶר	ʻÊpher	ay'-fer	n-pr-m	x-pn	probably a variation of 6082; gazelle;	Epher, the name of an Arabian and of two Israelites	Epher.
H6082	עֹפֶר	ʻôpher	o'-fer	n-m	heb	from 6080;	a fawn (from the dusty color)	young roe (hart).
H6083	עָפָר	ʻâphâr	aw-fawr'	n-m	heb	from 6080;	dust (as powdered or gray); hence, clay, earth, mud	ashes, dust, earth, ground, morter, powder, rubbish.
H6084	עׇפְרָה	ʻOphrâh	of-raw'	n-pr-m n-pr-loc	x-pn	feminine of 6082; female fawn;	Ophrah, the name of an Israelite and of two places in Palestine	Ophrah.
H6085	עֶפְרוֹן	ʻEphrôwn	ef-rone'	n-pr-m n-pr-loc	x-pn	from the same as 6081; fawn-like;	Ephron, the name of a Canaanite and of two places in Palestine	Ephron, Ephrain (from the margin).
H6086	עֵץ	ʻêts	ates	n-m	heb	from 6095;	a tree (from its firmness); hence, wood (plural sticks)	carpenter, gallows, helve, pine, plank, staff, stalk, stick, stock, timber, tree, wood.
H6087	עָצַב	ʻâtsab	aw-tsab'	v	heb	a primitive root;	properly, to carve, i.e. fabricate or fashion; hence (in a bad sense) to worry, pain or anger	displease, grieve, hurt, make, be sorry, vex, worship, wrest.
H6088	עֲצַב	ʻătsab	ats-ab'	v	arc	(Aramaic) corresponding to 6087;	to afflict	lamentable.
H6089	עֶצֶב	ʻetseb	eh'-tseb	n-m	heb	from 6087;	an earthen vessel; usually (painful) toil; also a pang (whether of body or mind)	grievous, idol, labor, sorrow.
H6090	עֹצֶב	ʻôtseb	o'-tseb	n-m	heb	a variation of 6089;	an idol (as fashioned); also pain (bodily or mental)	idol, sorrow, × wicked.
H6091	עָצָב	ʻâtsâb	aw-tsawb'	n-m	heb	from 6087;	an (idolatrous) image	idol, image.
H6092	עָצֵב	ʻâtsêb	aw-tsabe'	n-m	heb	from 6087;	a (hired) workman	labour.
H6093	עִצָּבוֹן	ʻitstsâbôwn	its-tsaw-bone'	n-m	heb	from 6087;	worrisomeness, i.e. labor or pain	sorrow, toil.
H6094	עַצֶּבֶת	ʻatstsebeth	ats-tseh'-beth	n-f	heb	from 6087;	a idol; also, a pain or wound	sorrow, wound.
H6095	עָצָה	ʻâtsâh	aw-tsaw'	v	heb	a primitive root;	properly, to fasten (or make firm), i.e. to close (the eyes)	shut.
H6096	עָצֶה	ʻâtseh	aw-tseh'	n-m	heb	from 6095;	the spine (as giving firmness to the body)	backbone.
H6097	עֵצָה	ʻêtsâh	ay-tsaw'	n-f	heb	feminine of 6086;	timber	trees.
H6098	עֵצָה	ʻêtsâh	ay-tsaw'	n-f	heb	from 3289;	advice; by implication, plan; also prudence	advice, advisement, counsel([-lor]), purpose.
H6099	עָצוּם	ʻâtsûwm	aw-tsoom'	a	heb	or עָצֻם; passive participle of 6105;	powerful (specifically, a paw); by implication, numerous	feeble, great, mighty, must, strong.
H6100	עֶצְיוֹן גֶּבֶר	ʻEtsyôwn Geber	ets-yone' gheh'ber	n-pr-loc	x-pn	from 6096 and 1397; backbone-like of a man;	Etsjon-Geber, a place on the Red Sea	Ezion-geber.
H6101	עָצַל	ʻâtsal	aw-tsal'	v	heb	a primitive root;	to lean idly, i.e. to be indolent or slack	be slothful.
H6102	עָצֵל	ʻâtsêl	aw-tsale'	a	heb	from 6101;	indolent	slothful, sluggard.
H6103	עַצְלָה	ʻatslâh	ats-law'	n-f	heb	feminine of 6102;	(as abstractly) indolence	slothfulness.
H6104	עַצְלוּת	ʻatslûwth	ats-looth'	n-f	heb	from 6101;	indolence	idleness.
H6105	עָצַם	ʻâtsam	aw-tsam'	v	heb	a primitive root; also denominatively (from 6106)	to bind fast, i.e. close (the eyes); intransitively, to be (causatively, make) powerful or numerous; to crunch the bones	break the bones, close, be great, be increased, be (wax) mighty(-ier), be more, shut, be(-come, make) strong(-er).
H6106	עֶצֶם	ʻetsem	eh'tsem	n-f	heb	from 6105;	a bone (as strong); by extension, the body; figuratively, the substance, i.e. (as pron.) selfsame	body, bone, × life, (self-) same, strength, × very.
H6107	עֶצֶם	ʻEtsem	eh'-tsem	n-pr-loc	x-pn	the same as 6106; bone;	Etsem, a place in Palestine	Azem, Ezem.
H6108	עֹצֶם	ʻôtsem	o'-tsem	n-m	heb	from 6105;	power; hence, body	might, strong, substance.
H6109	עׇצְמָה	ʻotsmâh	ots-maw'	n-f	heb	feminine of 6108;	powerfulness; by extension, numerousness	abundance, strength.
H6110	עַצֻּמָה	ʻatstsumâh	ats-tsoo-maw'	n-f	heb	feminine of 6099;	a bulwark, i.e. (figuratively) argument	strong.
H6111	עַצְמוֹן	ʻAtsmôwn	ats-mone'	n-pr-loc	x-pn	or עַצְמֹן; from 6107; bone-like;	Atsmon, a place near Palestine	Azmon.
H6112	עֵצֶן	ʻêtsen	ay'-tsen	n-m	heb	from an unused root meaning to be sharp or strong;	a spear	Eznite (from the margin).
H6113	עָצָר	ʻâtsâr	aw-tsar'	v	heb	a primitive root;	to inclose; by analogy, to hold back; also to maintain, rule, assemble	× be able, close up, detain, fast, keep (self close, still), prevail, recover, refrain, × reign, restrain, retain, shut (up), slack, stay, stop, withhold (self).
H6114	עֶצֶר	ʻetser	eh'-tser	n-m	heb	from 6113;	restraint	magistrate.
H6115	עֹצֶר	ʻôtser	o'-tser	n-m	heb	from 6113;	closure; also constraint	× barren, oppression, × prison.
H6116	עֲצָרָה	ʻătsârâh	ats-aw-raw'	n-f	heb	or עֲצֶרֶת; from 6113;	an assembly, especially on a festival or holiday	(solemn) assembly (meeting).
H6117	עָקַב	ʻâqab	aw-kab'	v	heb	a primitive root; properly, to swell out or up; used only as denominative from 6119,	to seize by the heel; figuratively, to circumvent (as if tripping up the heels); also to restrain (as if holding by the heel)	take by the heel, stay, supplant, × utterly.
H6118	עֵקֶב	ʻêqeb	ay'-keb	n-m	heb	from 6117 in the sense of 6119;	a heel, i.e. (figuratively) the last of anything (used adverbially, for ever); also result, i.e. compensation; and so (adverb with preposition or relatively) on account of	× because, by, end, for, if, reward.
H6119	עָקֵב	ʻâqêb	aw-kabe'	n-m	heb	or (feminine) עִקְּבָה; from 6117;	a heel (as protuberant); hence, a track; figuratively, the rear (of an army)	heel, (horse-) hoof, last, lier in wait (by mistake for 6120), (foot-) step.
H6120	עָקֵב	ʻâqêb	aw-kabe'	a	heb	from 6117 in its denominative sense;	a lier in wait	heel (by mistake for 6119).
H6121	עָקֹב	ʻâqôb	aw-kobe'	a	heb	from 6117; in the original sense, a knoll (as swelling up); in the denominative sense	(transitive) fraudulent or (intransitive) tracked	crooked, deceitful, polluted.
H6122	עׇקְבָה	ʻoqbâh	ok-baw'	n-f	heb	feminine of an unused form from 6117 meaning a trick;	trickery	subtilty.
H6123	עָקַד	ʻâqad	aw-kad'	v	heb	a primitive root;	to tie with thongs	bind.
H6124	עָקֹד	ʻâqôd	aw-kode'	a	heb	from 6123;	striped (with bands)	ring straked.
H6125	עָקָה	ʻâqâh	aw-kaw'	n-f	heb	from 5781;	constraint	oppression.
H6126	עַקּוּב	ʻAqqûwb	ak-koob'	n-pr-m	x-pn	from 6117; insidious;	Akkub, the name of five Israelites	Akkub.
H6127	עָקַל	ʻâqal	aw-kal'	v	heb	a primitive root;	to wrest	wrong.
H6128	עֲקַלְקַל	ʻăqalqal	ak-al-kal'	a	heb	from 6127;	winding	by(-way), crooked way.
H6129	עֲקַלָּתוֹן	ʻăqallâthôwn	ak-al-law-thone'	a	heb	from 6127;	tortuous	crooked.
H6130	עָקָן	ʻÂqân	aw-kawn'	n-pr-m	x-pn	from an unused root meaning to twist; tortuous;	Akan, an Idummaean	Akan. Compare 3292.
H6131	עָקַר	ʻâqar	aw-kar'	v	heb	a primitive root;	to pluck up (especially by the roots); specifically, to hamstring; figuratively, to exterminate	dig down, hough, pluck up, root up.
H6132	עֲקַר	ʻăqar	ak-ar'	v	arc	(Aramaic) corresponding to 6131		pluck up by the roots.
H6133	עֵקֶר	ʻêqer	ay'-ker	n-m	heb	from 6131;	figuratively, a transplanted person, i.e. naturalized citizen	stock.
H6134	עֵקֶר	ʻÊqer	ay'-ker	n-pr-m	x-pn	the same as 6133;	Eker, an Israelite	Eker.
H6135	עָקָר	ʻâqâr	aw-kawr'	a	heb	from 6131;	sterile (as if extirpated in the generative organs)	(× male or female) barren (woman).
H6136	עִקַּר	ʻiqqar	ik-kar'	n-m	arc	(Aramaic) from 6132;	a stock	stump.
H6137	עַקְרָב	ʻaqrâb	ak-rawb'	n-m	heb	of uncertain derivation;	a scorpion; figuratively, a scourge or knotted whip	scorpion.
H6138	עֶקְרוֹן	ʻEqrôwn	ek-rone'	n-pr-loc	x-pn	from 6131; eradication;	Ekron, a place in Palestine	Ekron.
H6139	עֶקְרוֹנִי	ʻEqrôwnîy	ek-ro-nee'	a	x-pn	or עֶקְרֹנִי; patrial from 6138;	an Ekronite or inhabitant of Ekron	Ekronite.
H6140	עָקַשׁ	ʻâqash	aw-kash'	v	heb	a primitive root;	to knot or distort; figuratively, to pervert (act or declare perverse)	make crooked, (prove, that is) perverse(-rt).
H6141	עִקֵּשׁ	ʻiqqêsh	ik-kashe'	a	heb	from 6140;	distorted; hence, false	crooked, froward, perverse.
H6142	עִקֵּשׁ	ʻIqqêsh	ik-kashe'	n-pr-m	x-pn	the same as 6141; perverse;	Ikkesh, an Israelite	Ikkesh.
H6143	עִקְּשׁוּת	ʻiqqᵉshûwth	ik-kesh-ooth'	n-f	heb	from 6141;	perversity	× froward.
H6144	עָר	ʻÂr	awr	n-pr-loc	x-pn	the same as 5892; a city;	Ar, a place in Moab	Ar.
H6145	עָר	ʻâr	awr	n-m	heb	from 5782;	a foe (as watchful for mischief)	enemy.
H6146	עָר	ʻâr	awr	n-m	arc	(Aramaic) corresponding to 6145		enemy.
H6147	עֵר	ʻÊr	ayr	n-pr-m	x-pn	from 5782; watchful;	Er, the name of two Israelites	Er.
H6148	עָרַב	ʻârab	aw-rab'	v	heb	a primitive root;	to braid, i.e. intermix; technically, to traffic (as if by barter); also or give to be security (as a kind of exchange)	engage, (inter-) meddle (with), mingle (self), mortgage, occupy, give pledges, be(-come, put in) surety, undertake.
H6149	עָרֵב	ʻârêb	aw-rabe'	v	heb	a primitive root (rather identical with 6148 through the idea of close association);	to be agreeable	be pleasant(-ing), take pleasure in, be sweet.
H6150	עָרַב	ʻârab	aw-rab'	v	heb	a primitive root (rather identical with 6148 through the idea of covering with a texture);	to grow dusky at sundown	be darkened, (toward) evening.
H6151	עֲרַב	ʻărab	ar-ab'	v	arc	(Aramaic) corresponding to 6148;	to commingle	mingle (self), mix.
H6152	עֲרָב	ʻĂrâb	ar-awb'	n-m	x-pn	or עֲרַב; from 6150 in the figurative sense of sterility;	Arab (i.e. Arabia), a country East of Palestine	Arabia.
H6153	עֶרֶב	ʻereb	eh'-reb	n-m	heb	from 6150;	dusk	day, even(-ing, tide), night.
H6154	עֵרֶב	ʻêreb	ay'-reb	n-m	heb	or עֶרֶב; (1 Kings 10:15), (with the article prefix), from 6148;	the web (or transverse threads of cloth); also a mixture, (or mongrel race)	Arabia, mingled people, mixed (multitude), woof.
H6155	עָרָב	ʻârâb	aw-rawb'	n-f	heb	from 6148;	a willow (from the use of osiers as wattles)	willow.
H6156	עָרֵב	ʻârêb	aw-rabe'	a	heb	from 6149;	pleasant	sweet.
H6157	עָרֹב	ʻârôb	aw-robe'	n-m	heb	from 6148;	a mosquito (from its swarming)	divers sorts of flies, swarm.
H6158	עֹרֵב	ʻôrêb	o-rabe'	n-m	heb	or עוֹרֵב; from 6150;	a raven (from its dusky hue)	raven.
H6159	עֹרֵב	ʻÔrêb	o-rabe'	n-pr-m n-pr-loc	x-pn	or עוֹרֵב; the same as 6158;	Oreb, the name of a Midianite and of the cliff near the Jordan	Oreb.
