strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H4265	מַחֲנֵה־דָן	Machănêh-Dân	makh-an-ay'-dawn	n-pr-loc	x-pn	from 4264 and 1835; camp of Dan;	Machaneh-Dan, a place in Palestine	Mahaneh-dan.
H4266	מַחֲנַיִם	Machănayim	makh-an-ah'-yim	n-pr-loc	x-pn	dual of 4264; double camp;	Machanajim, a place in Palestine	Mahanaim.
H4267	מַחֲנַק	machănaq	makh-an-ak'	n-m	heb	from 2614;	choking	strangling.
H4268	מַחֲסֶה	machăçeh	makh-as-eh'	n-m	heb	or מַחְסֶה; from 2620;	a shelter (literally or figuratively)	hope, (place of) refuge, shelter, trust.
H4269	מַחְסוֹם	machçôwm	makh-sohm'	n-m	heb	from 2629;	a muzzle	bridle.
H4270	מַחְסוֹר	machçôwr	makh-sore'	n-m	heb	or מַחְסֹר; from 2637;	deficiency; hence, impoverishment	lack, need, penury, poor, poverty, want.
H4271	מַחְסֵיָה	Machçêyâh	makh-say-yaw'	n-pr-m	x-pn	from 4268 and 3050; refuge of (i.e. in) Jah;	Machsejah, an Israelite	Maaseiah.
H4272	מָחַץ	mâchats	maw-khats'	v	heb	a primitive root;	to dash asunder; by implication, to crush, smash or violently plunge; figuratively, to subdue or destroy	dip, pierce (through), smite (through), strike through, wound.
H4273	מַחַץ	machats	makh'-ats	n-m	heb	from 4272;	a contusion	stroke.
H4274	מַחְצֵב	machtsêb	makh-tsabe'	n-m	heb	from 2672;	properly, a hewing; concretely, a quarry	hewed(-n).
H4275	מֶחֱצָה	mechĕtsâh	mekh-ets-aw'	n-f	heb	from 2673;	a halving	half.
H4276	מַחֲצִית	machătsîyth	makh-ats-eeth'	n-f	heb	from 2673;	a halving or the middle	half (so much), mid(-day).
H4277	מָחַק	mâchaq	maw-khak'	v	heb	a primitive root;	to crush	smite off.
H4278	מֶחְקָר	mechqâr	mekh-kawr'	n-m	heb	from 2713;	properly, scrutinized, i.e. (by implication) a recess	deep place.
H4279	מָחָר	mâchâr	maw-khar'	n-m	heb	probably from 309;	properly, deferred, i.e. the morrow; usually (adverbially) tomorrow; indefinitely, hereafter	time to come, tomorrow.
H4280	מַחֲרָאָה	machărâʼâh	makh-ar-aw-aw'	n-f	heb	from the same as 2716;	a sink	draught house.
H4281	מַחֲרֵשָׁה	machărêshâh	makh-ar-ay-shaw'	n-f	heb	from 2790;	probably a pick-axe	mattock.
