strongs	word	transliteration	derivation	definition	kjv_usage
G2879	Κορέ	Koré	of Hebrew origin (H07141);	Core (i.e. Korach), an Israelite	Core
G2880	κορέννυμι	korénnymi	a primary verb;	to cram, i.e. glut or sate	eat enough, full
G2881	Κορίνθιος	Korínthios	from G2882 (Κόρινθος);	a Corinthian, i.e. inhabitant of Corinth	Corinthian
G2882	Κόρινθος	Kórinthos	of uncertain derivation;	Corinthus, a city of Greece	Corinth
G2883	Κορνήλιος	Kornḗlios	of Latin origin;	Cornelius, a Roman	Cornelius
G2884	κόρος	kóros	of Hebrew origin (H03734);	a cor, i.e. a specific measure	measure
G2885	κοσμέω	kosméō	from G2889 (κόσμος);	to put in proper order, i.e. decorate (literally or figuratively); specially, to snuff (a wick)	adorn, garnish, trim
G2886	κοσμικός	kosmikós	from G2889 (κόσμος) (in its secondary sense);	terrene ("cosmic"), literally (mundane) or figuratively (corrupt)	worldly
G2887	κόσμιος	kósmios	from G2889 (κόσμος) (in its primary sense);	orderly, i.e. decorous	of good behaviour, modest
G2888	κοσμοκράτωρ	kosmokrátōr	from G2889 (κόσμος) and G2902 (κρατέω);	a world-ruler, an epithet of Satan	ruler
G2889	κόσμος	kósmos	probably from the base of G2865 (κομίζω);	orderly arrangement, i.e. decoration; by implication, the world (in a wide or narrow sense, including its inhabitants, literally or figuratively (morally))	adorning, world
G2890	Κούαρτος	Koúartos	of Latin origin (fourth);	Quartus, a Christian	Quartus
G2891	κοῦμι	koûmi	of Chaldee origin (H06966);	cumi (i.e. rise!)	cumi
G2892	κουστωδία	koustōdía	of Latin origin;	"custody", i.e. a Roman sentry	watch
G2893	κουφίζω	kouphízō	from (light in weight);	to unload	lighten
G2894	κόφινος	kóphinos	of uncertain derivation;	a (small) basket	basket
G2895	κράββατος	krábbatos	probably of foreign origin;	a mattress	bed
G2896	κράζω	krázō	a primary verb;	properly, to "croak" (as a raven) or scream, i.e. (genitive case) to call aloud (shriek, exclaim, intreat)	cry (out)
G2897	κραιπάλη	kraipálē	probably from the same as G726 (ἁρπάζω);	properly, a headache (as a seizure of pain) from drunkenness, i.e. (by implication) a debauch (by analogy, a glut)	surfeiting
G2898	κρανίον	kraníon	diminutive of a derivative of the base of G2768 (κέρας);	a skull ("cranium")	Calvary, skull
G2899	κράσπεδον	kráspedon	of uncertain derivation;	a margin, i.e. (specially), a fringe or tassel	border, hem
G2900	κραταιός	krataiós	from G2904 (κράτος);	powerful	mighty
G2901	κραταιόω	krataióō	from G2900 (κραταιός);	to empower, i.e. (passively) increase in vigor	be strengthened, be (wax) strong
G2902	κρατέω	kratéō	from G2904 (κράτος);	to use strength, i.e. seize or retain (literally or figuratively)	hold (by, fast), keep, lay hand (hold) on, obtain, retain, take (by)
G2903	κράτιστος	krátistos	superlative of a derivative of G2904 (κράτος);	strongest, i.e. (in dignity) very honorable	most excellent (noble)
G2904	κράτος	krátos	perhaps a primary word;	vigor ("great") (literally or figuratively)	dominion, might(-ily), power, strength
G2905	κραυγάζω	kraugázō	from G2906 (κραυγή);	to clamor	cry out
G2906	κραυγή	kraugḗ	from G2896 (κράζω);	an outcry (in notification, tumult or grief)	clamour, cry(-ing)
G2907	κρέας	kréas	perhaps a primary word;	(butcher's) meat	flesh
G2908	κρεῖσσον	kreîsson	neuter of an alternate form of G2909 (κρείττων);	(as noun) better, i.e. greater advantage	better
G2909	κρείττων	kreíttōn	comparative of a derivative of G2904 (κράτος);	stronger, i.e. (figuratively) better, i.e. nobler	best, better
G2910	κρεμάννυμι	kremánnymi	a prolonged form of a primary verb;	to hang	hang
G2911	κρημνός	krēmnós	from G2910 (κρεμάννυμι);	overhanging, i.e. a precipice	steep place
G2912	Κρής	Krḗs	from G2914 (Κρήτη);	a Cretan, i.e. inhabitant of Crete	Crete, Cretian
G2913	Κρήσκης	Krḗskēs	of Latin origin;	growing; Cresces (i.e. Crescens), a Christian	Crescens
G2914	Κρήτη	Krḗtē	of uncertain derivation;	Crete, an island in the Mediterranean	Crete
G2915	κριθή	krithḗ	of uncertain derivation;	barley	barley
G2916	κρίθινος	kríthinos	from G2915 (κριθή);	consisting of barley	barley
G2917	κρίμα	kríma	from G2919 (κρίνω);	a decision (the function or the effect, for or against ("crime"))	avenge, condemned, condemnation, damnation, + go to law, judgment
G2918	κρίνον	krínon	perhaps a prim word;	a lily	lily
G2919	κρίνω	krínō	properly, to distinguish, i.e. decide (mentally or judicially);	by implication, to try, condemn, punish	avenge, conclude, condemn, damn, decree, determine, esteem, judge, go to (sue at the) law, ordain, call in question, sentence to, think
G2920	κρίσις	krísis		decision (subjectively or objectively, for or against); by extension, a tribunal; by implication, justice (especially, divine law)	accusation, condemnation, damnation, judgment
G2921	Κρίσπος	Kríspos	of Latin origin;	"crisp"; Crispus, a Corinthian	Crispus
G2922	κριτήριον	kritḗrion	neuter of a presumed derivative of G2923 (κριτής);	a rule of judging ("criterion"), i.e. (by implication) a tribunal	to judge, judgment (seat)
G2923	κριτής	kritḗs	from G2919 (κρίνω);	a judge (genitive case or specially)	judge
G2924	κριτικός	kritikós	from G2923 (κριτής);	decisive ("critical"), i.e. discriminative	discerner
G2925	κρούω	kroúō	apparently a primary verb;	to rap	knock
G2926	κρύπτη	krýptē	feminine of G2927 (κρυπτός);	a hidden place, i.e. cellar ("crypt")	secret
G2927	κρυπτός	kryptós	from G2928 (κρύπτω);	concealed, i.e. private	hid(-den), inward(-ly), secret
G2928	κρύπτω	krýptō	a primary verb;	to conceal (properly, by covering)	hide (self), keep secret, secret(-ly)
G2929	κρυσταλλίζω	krystallízō	from G2930 (κρύσταλλος);	to make (i.e. intransitively, resemble) ice ("crystallize")	be clear as crystal
G2930	κρύσταλλος	krýstallos	from a derivative of (frost);	ice, i.e. (by analogy) rock "crystal"	crystal
G2931	κρυφῆ	kryphē	adverb from G2928 (κρύπτω);	privately	in secret
G2932	κτάομαι	ktáomai	a primary verb;	to get, i.e. acquire (by any means; own)	obtain, possess, provide, purchase
G2933	κτῆμα	ktēma	from G2932 (κτάομαι);	an acquirement, i.e. estate	possession
G2934	κτῆνος	ktēnos	from G2932 (κτάομαι);	property, i.e. (specially) a domestic animal	beast
G2935	κτήτωρ	ktḗtōr	from G2932 (κτάομαι);	an owner	possessor
G2936	κτίζω	ktízō	probably akin to G2932 (κτάομαι) (through the idea of proprietorship of the manufacturer);	to fabricate, i.e. found (form originally)	create, Creator, make
G2937	κτίσις	ktísis	from G2936 (κτίζω);	original formation (properly, the act; by implication, the thing, literally or figuratively)	building, creation, creature, ordinance
G2938	κτίσμα	ktísma	from G2936 (κτίζω);	an original formation (concretely), i.e. product (created thing)	creature
G2939	κτίστης	ktístēs	from G2936 (κτίζω);	a founder, i.e. God (as author of all things)	Creator
G2940	κυβεία	kybeía	from (a "cube", i.e. die for playing);	gambling, i.e. (figuratively) artifice or fraud	sleight
G2941	κυβέρνησις	kybérnēsis	from (of Latin origin, to steer);	pilotage, i.e. (figuratively) directorship (in the church)	government
G2942	κυβερνήτης	kybernḗtēs	from the same as G2941 (κυβέρνησις);	helmsman, i.e. (by implication) captain	(ship) master
G2943	κυκλόθεν	kyklóthen	adverb from the same as G2945 (κύκλῳ);	from the circle, i.e. all around	(round) about
G2944	κυκλόω	kyklóō	from the same as G2945 (κύκλῳ);	to encircle, i.e. surround	compass (about), come (stand) round about
G2945	κύκλῳ	kýklōi	as if dative case of (a ring, "cycle";	akin to G2947 (κυλιόω)); i.e. in a circle (by implication, of G1722 (ἐν)), i.e. (adverbially) all around	round about
G2946	κύλισμα	kýlisma	from G2947 (κυλιόω);	a wallow (the effect of rolling), i.e. filth	wallowing
G2947	κυλιόω	kylióō	from the base of G2949 (κῦμα) (through the idea of circularity;	compare G2945 (κύκλῳ), G1507 (εἱλίσσω)); to roll about	wallow
G2948	κυλλός	kyllós	from the same as G2947 (κυλιόω);	rocking about, i.e. crippled (maimed, in feet or hands)	maimed
G2949	κῦμα	kŷma	from (to swell (with young), i.e. bend, curve);	a billow (as bursting or toppling)	wave
G2950	κύμβαλον	kýmbalon	from a derivative of the base of G2949 (κῦμα);	a "cymbal" (as hollow)	cymbal
