reference	n	greek	transliteration	parsing	strongs	english
Matthew 1:21	5	καλέσεις	kaleseiv	V-FAI-2S	G2564	you are to give
Matthew 1:21	6	τὸ	to	T-ASN	G3588	the
Matthew 1:21	7	ὄνομα	onoma	N-ASN	G3686	name
Matthew 1:21	8	αὐτοῦ	autou	P-GSM	G0846	Him
Matthew 1:21	9	Ἰησοῦν	ihsoun	N-ASM	G2424	Jesus
Matthew 1:21	10	αὐτὸς	autov	P-NSM	G0846	He
Matthew 1:21	11	γὰρ	gar	CONJ	G1063	because
Matthew 1:21	12	σώσει	swsei	V-FAI-3S	G4982	will save
Matthew 1:21	13	τὸν	ton	T-ASM	G3588	-
Matthew 1:21	14	λαὸν	laon	N-ASM	G2992	people
Matthew 1:21	15	αὐτοῦ	autou	P-GSM	G0846	His
Matthew 1:21	16	ἀπὸ	apo	PREP	G0575	from
Matthew 1:21	17	τῶν	twn	T-GPF	G3588	-
Matthew 1:21	18	ἁμαρτιῶν	amartiwn	N-GPF	G0266	sins
Matthew 1:21	19	αὐτῶν	autwn	P-GPM	G0846	their
Matthew 1:22	1	Τοῦτο	touto	D-NSN	G3778	this
Matthew 1:22	2	δὲ	de	CONJ	G1161	-
Matthew 1:22	3	ὅλον	olon	A-NSN	G3650	All
Matthew 1:22	4	γέγονεν	gegonen	V-2RAI-3S	G1096	took place
Matthew 1:22	5	ἵνα	ina	CONJ	G2443	to
Matthew 1:22	6	πληρωθῇ	plhrwqh	V-APS-3S	G4137	fulfill
Matthew 1:22	7	τὸ	to	T-NSN	G3588	what
Matthew 1:22	8	ῥηθὲν	rhqen	V-APP-NSN	G2046	had said
Matthew 1:22	9	ὑπὸ	upo	PREP	G5259	-
Matthew 1:22	10	τοῦ	tou	T-GSM	G3588	
Matthew 1:22	11	κυρίου	kuriou	N-GSM	G2962	the Lord
Matthew 1:22	12	διὰ	dia	PREP	G1223	through
